hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,model,dataset
32,2,5,leakyrelu,ResDense,1024,32,4,0.0,0.9583333333333336,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,ResDense,1024,32,5,0.0,0.9965277777777781,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,64,1,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,64,2,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,64,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,64,4,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,64,5,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,64,1,0.4,0.6597222222222221,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,64,2,0.4,0.6215277777777777,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,64,3,0.0,0.6145833333333335,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,64,4,0.0,0.6875000000000002,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,64,5,0.2857142857142857,0.6215277777777779,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,64,1,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,64,2,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,64,3,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,64,4,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,64,5,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,64,1,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,64,2,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,64,3,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,64,4,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,64,5,0.5714285714285714,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,64,1,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,64,2,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,64,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,64,4,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,64,5,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,64,1,0.0,0.7395833333333336,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,64,2,0.0,0.6597222222222223,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,64,3,0.0,0.6701388888888892,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,64,4,0.0,0.6354166666666669,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,64,5,0.0,0.6458333333333335,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,Dense,256,64,1,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,Dense,256,64,2,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,Dense,256,64,3,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,Dense,256,64,4,0.6666666666666666,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,Dense,256,64,5,0.8571428571428571,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,256,64,1,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,256,64,2,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,256,64,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,256,64,4,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,256,64,5,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,256,64,1,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,256,64,2,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,256,64,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,256,64,4,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,256,64,5,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,256,64,1,0.0,0.9965277777777781,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,256,64,2,0.0,0.9930555555555558,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,256,64,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,256,64,4,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,256,64,5,0.0,0.9965277777777781,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,256,64,1,0.0,0.9409722222222225,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,256,64,2,0.4,0.9756944444444449,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,256,64,3,0.3333333333333333,0.9756944444444449,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,256,64,4,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,256,64,5,0.4,0.9826388888888893,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,256,64,1,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,256,64,2,0.4,0.9722222222222224,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,256,64,3,0.0,0.9861111111111114,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,256,64,4,0.0,0.9930555555555558,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,256,64,5,0.0,0.9583333333333336,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,256,64,1,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,256,64,2,0.0,0.9861111111111114,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,256,64,3,0.0,0.9930555555555558,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,256,64,4,0.0,0.8750000000000002,autoencoder,breast-cancer-wisconsin
