hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,model,dataset
32,8,3,relu,Dense,64,32,0.05,5,0.6666666666666666,0.9647887323943661,0.11284899805754998,0.1555228481642397,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,1,0.0,0.971830985915493,0.11783920491381407,0.13937436259422045,1.0,1.0,1.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,2,1.0,1.0,0.11783920491381407,0.13937436259422045,1.0,1.0,1.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,3,0.0,1.0,0.11783920491381407,0.13937436259422045,1.0,1.0,1.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,1,0.0,0.9859154929577465,0.10623655885037067,0.16093044310379254,0.49295774647887325,NaN,0.0,0.005,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,1,0.6666666666666666,0.9894366197183099,0.10942469258881216,0.1445384221313403,1.0,1.0,0.5,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,2,0.4,0.9929577464788732,0.10942469258881216,0.1445384221313403,1.0,1.0,0.5,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,3,0.4,0.9929577464788732,0.10942469258881216,0.1445384221313403,1.0,1.0,0.5,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,4,0.6666666666666666,0.9964788732394365,0.10942469258881216,0.1445384221313403,1.0,1.0,0.5,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,5,0.8571428571428571,0.9964788732394366,0.10942469258881216,0.1445384221313403,1.0,1.0,0.5,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,1,0.0,1.0,0.10418290631993242,0.12283652628279845,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,2,0.0,1.0,0.10418290631993242,0.12283652628279845,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,3,0.0,1.0,0.10418290631993242,0.12283652628279845,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.05,1,0.0,0.323943661971831,0.12018002481586275,0.18965415368181773,0.5,NaN,0.0,0.005,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,1,0.0,0.5985915492957747,0.1068134977268753,0.14292456310009785,0.8626760563380281,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,2,0.0,0.7147887323943661,0.1068134977268753,0.14292456310009785,0.8626760563380281,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,3,0.0,0.9647887323943661,0.1068134977268753,0.14292456310009785,0.8626760563380281,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,4,0.3333333333333333,0.9542253521126761,0.1068134977268753,0.14292456310009785,0.8626760563380281,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,5,0.4,0.9612676056338028,0.1068134977268753,0.14292456310009785,0.8626760563380281,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,1,0.0,0.9577464788732395,0.11283900533048094,0.15101270480241746,1.0,1.0,1.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,2,0.0,0.9436619718309859,0.11283900533048094,0.15101270480241746,1.0,1.0,1.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,3,0.0,1.0,0.11283900533048094,0.15101270480241746,1.0,1.0,1.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,32,0.05,1,0.0,0.4507042253521127,0.10465738241155681,0.16519921283639172,0.5,NaN,0.0,0.005,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,1,0.0,0.8963266545233758,0.2810214263038779,0.33992300483935545,0.8927595628415304,0.38461538461538464,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,2,0.0,0.8600485731633273,0.2810214263038779,0.33992300483935545,0.8927595628415304,0.38461538461538464,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,3,0.2,0.8377352762598664,0.2810214263038779,0.33992300483935545,0.8927595628415304,0.38461538461538464,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,4,0.17391304347826086,0.8639951426836672,0.2810214263038779,0.33992300483935545,0.8927595628415304,0.38461538461538464,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,5,0.19718309859154928,0.8923800850030359,0.2810214263038779,0.33992300483935545,0.8927595628415304,0.38461538461538464,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,1,0.0,0.819672131147541,0.23932622126662878,0.2788467649624025,0.8739754098360656,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,2,0.0,0.7342896174863388,0.23932622126662878,0.2788467649624025,0.8739754098360656,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,3,0.12121212121212122,0.8907103825136613,0.23932622126662878,0.2788467649624025,0.8739754098360656,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,4,0.09090909090909091,0.9009562841530054,0.23932622126662878,0.2788467649624025,0.8739754098360656,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,5,0.08,0.8408469945355191,0.23932622126662878,0.2788467649624025,0.8739754098360656,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,1,0.0,0.8825136612021858,0.26099621632714937,0.3148132946630646,0.4959016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,2,0.0,0.9467213114754098,0.26099621632714937,0.3148132946630646,0.4959016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,3,0.0,0.9098360655737705,0.26099621632714937,0.3148132946630646,0.4959016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,4,0.0,0.8469945355191257,0.26099621632714937,0.3148132946630646,0.4959016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,5,0.04878048780487805,0.8046448087431693,0.26099621632714937,0.3148132946630646,0.4959016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,1,0.09523809523809523,0.900121432908318,0.2386231508236827,0.2705550896845974,0.8635397692774741,0.3,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,2,0.15384615384615385,0.9103673345476625,0.2386231508236827,0.2705550896845974,0.8635397692774741,0.3,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,3,0.23076923076923078,0.9078627808136004,0.2386231508236827,0.2705550896845974,0.8635397692774741,0.3,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,4,0.18181818181818182,0.895795385549484,0.2386231508236827,0.2705550896845974,0.8635397692774741,0.3,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,5,0.21428571428571427,0.8424408014571948,0.2386231508236827,0.2705550896845974,0.8635397692774741,0.3,0.16666666666666666,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,1,0.13333333333333333,0.8104508196721312,0.2426051040984732,0.28042071060613233,0.48633879781420764,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,2,0.10526315789473684,0.8654371584699454,0.2426051040984732,0.28042071060613233,0.48633879781420764,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,3,0.07407407407407407,0.9112021857923498,0.2426051040984732,0.28042071060613233,0.48633879781420764,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,4,0.13333333333333333,0.9112021857923498,0.2426051040984732,0.28042071060613233,0.48633879781420764,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,5,0.11428571428571428,0.9153005464480874,0.2426051040984732,0.28042071060613233,0.48633879781420764,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,1,0.2,0.9699453551912568,0.2176133857898693,0.24435235613935888,0.49453551912568305,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,2,0.15384615384615385,0.9412568306010929,0.2176133857898693,0.24435235613935888,0.49453551912568305,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,3,0.11764705882352941,0.9412568306010929,0.2176133857898693,0.24435235613935888,0.49453551912568305,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,4,0.125,0.9535519125683061,0.2176133857898693,0.24435235613935888,0.49453551912568305,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,64,16,0.05,5,0.14285714285714285,0.9357923497267759,0.2176133857898693,0.24435235613935888,0.49453551912568305,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.7328476017000607,0.27968092982337156,0.3272381292892549,0.9310868245294475,0.625,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,2,0.1,0.7482544019429265,0.27968092982337156,0.3272381292892549,0.9310868245294475,0.625,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,3,0.25806451612903225,0.9368548876745597,0.27968092982337156,0.3272381292892549,0.9310868245294475,0.625,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,4,0.1875,0.9078627808136005,0.27968092982337156,0.3272381292892549,0.9310868245294475,0.625,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,5,0.24242424242424243,0.8998178506375227,0.27968092982337156,0.3272381292892549,0.9310868245294475,0.625,0.2777777777777778,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.9494535519125683,0.246742077221668,0.3020015410810751,0.8647540983606556,0.0,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,2,0.2,0.9310109289617488,0.246742077221668,0.3020015410810751,0.8647540983606556,0.0,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,3,0.1111111111111111,0.9330601092896175,0.246742077221668,0.3020015410810751,0.8647540983606556,0.0,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,4,0.25,0.923497267759563,0.246742077221668,0.3020015410810751,0.8647540983606556,0.0,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,5,0.08333333333333333,0.9596994535519126,0.246742077221668,0.3020015410810751,0.8647540983606556,0.0,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.37568306010928965,0.21326132749012824,0.24552536331199973,0.9931693989071038,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,2,0.0,0.6133879781420766,0.21326132749012824,0.24552536331199973,0.9931693989071038,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,3,0.0,0.5150273224043715,0.21326132749012824,0.24552536331199973,0.9931693989071038,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,4,0.0,0.444672131147541,0.21326132749012824,0.24552536331199973,0.9931693989071038,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,5,0.18181818181818182,0.6161202185792349,0.21326132749012824,0.24552536331199973,0.9931693989071038,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,1,0.0,0.8469945355191257,0.25909012973089474,0.2998662043904849,0.8387219186399515,0.4444444444444444,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,2,0.0,0.8438069216757741,0.25909012973089474,0.2998662043904849,0.8387219186399515,0.4444444444444444,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,3,0.08,0.8510170006071646,0.25909012973089474,0.2998662043904849,0.8387219186399515,0.4444444444444444,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,4,0.14814814814814814,0.8652094717668488,0.25909012973089474,0.2998662043904849,0.8387219186399515,0.4444444444444444,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,5,0.07407407407407407,0.8614905889496055,0.25909012973089474,0.2998662043904849,0.8387219186399515,0.4444444444444444,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,1,0.0,0.9617486338797814,0.21647000169259956,0.23987643293017058,0.7424863387978142,1.0,0.5,0.01,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,2,0.0,0.9665300546448088,0.21647000169259956,0.23987643293017058,0.7424863387978142,1.0,0.5,0.01,svae,cardiotocography
