hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,auc,auc2,ar,i,model,dataset
32,8,3,relu,Dense,1024,16,0.1,1,0.5448480355819125,0.49888806523350626,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.5730170496664195,0.5441067457375833,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.7108969607116383,0.563565604151223,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,4,0.7060785767234988,0.6152705707931803,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,5,0.8856560415122313,0.7798369162342476,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,6,0.9164195700518902,0.7700148257968865,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,7,0.9499629355077835,0.8573017049666419,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,8,0.9169755374351372,0.8834321719792438,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,9,0.9347664936990363,0.9058561897702001,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,10,0.9510748702742773,0.8873239436619719,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.618421052631579,0.6123054114158637,0.01,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.6595626389918458,0.6588213491475167,0.01,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.6647516679021498,0.7731653076352856,0.01,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.7160859896219423,0.5982209043736101,0.005,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.9043736100815419,0.9249444032616754,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.9177168272794662,0.9014084507042255,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9862861378799112,0.966641957005189,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,4,0.9959229058561898,0.9621942179392143,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,5,0.9746108228317272,0.9918458117123795,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,6,0.9877687175685692,0.986286137879911,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,7,0.9974054855448481,0.9788732394366197,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,8,0.9970348406226834,0.9907338769458859,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,9,0.9970348406226834,0.9722016308376575,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,10,0.9962935507783544,0.9859154929577465,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.8925129725722758,0.8558191252779836,0.01,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.8767605633802817,0.8769458858413639,0.01,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9818383988139363,0.9651593773165308,0.01,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.6212008895478132,0.7435137138621202,0.005,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.542624166048925,0.5526315789473684,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.606745737583395,0.8261675315048184,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.6512231282431431,0.8528539659006672,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,4,0.6901408450704225,0.8767605633802817,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,5,0.7501853224610824,0.8265381764269829,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,6,0.7638991845811712,0.8543365455893254,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,7,0.8022609340252038,0.8728687916975538,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,8,0.8124536693847294,0.8865826538176428,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,9,0.826538176426983,0.9518161601186065,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,10,0.8869532987398072,0.9455151964418088,0.05,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.7842846553002224,0.7894736842105263,0.01,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.7696441808747222,0.763157894736842,0.01,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.8723128243143069,0.8750926612305411,0.01,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.5526315789473684,0.5526315789473684,0.005,5,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.9047442550037066,0.9065974796145294,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.8750926612305412,0.9034469977761305,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9010378057820608,0.916234247590808,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,4,0.9940696812453669,0.9981467753891772,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,5,0.975722757598221,0.991475166790215,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,6,0.9922164566345442,0.997405485544848,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,7,0.9970348406226834,0.9805411415863604,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,8,0.9788732394366197,0.9951816160118606,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,9,0.9925871015567087,0.9966641957005189,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,10,0.9988880652335063,0.9985174203113418,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.6089696071163825,0.5711638250555967,0.01,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.751297257227576,0.6011860637509265,0.01,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.754633061527057,0.6462194217939214,0.01,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.7501853224610823,0.6578947368421053,0.005,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.5263157894736842,0.5,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.6052631578947368,0.5859896219421793,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.6973684210526316,0.6919940696812454,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,4,0.7763157894736843,0.7674203113417348,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,5,0.7952186805040771,0.8441438102297999,0.05,6,svae,breast-cancer-wisconsin
