hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,ar,i,model,dataset
32,3,3,relu,Dense,0.1,lklh,3,0.8762045959970348,0.01,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9314306893995552,0.01,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9203113417346183,0.005,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9392142327650111,0.005,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9455151964418088,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9473684210526316,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9547813194959229,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9644180874722017,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,5,0.9681245366938473,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9551519644180875,0.01,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.941067457375834,0.01,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.943661971830986,0.01,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.938472942920682,0.01,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9099332839140103,0.005,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9132690882134915,0.005,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9829503335804299,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9899925871015567,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9840622683469237,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9825796886582654,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,5,0.9848035581912529,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9907338769458858,0.01,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9903632320237212,0.01,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9892512972572276,0.01,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9948109710896961,0.01,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9462564862861378,0.005,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9295774647887325,0.005,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.770941438102298,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.7705707931801333,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.7857672349888807,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.8046701260192736,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,5,0.8302446256486287,0.05,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9640474425500372,0.01,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9744255003706449,0.01,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9788732394366197,0.01,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9785025945144552,0.01,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9722016308376575,0.005,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9729429206819866,0.005,5,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9840622683469237,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9918458117123796,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.992216456634544,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9925871015567087,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,5,0.9903632320237212,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.8825055596738325,0.01,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9236471460340994,0.01,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9351371386212008,0.01,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9280948851000741,0.01,6,svae,breast-cancer-wisconsin
