hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,aucpxv,aucf2,aucf3,ar,i,κ,anom_sel,model,dataset
32,8,3,relu,Dense,256,0,0.5,2,0.9123208180635202,0.5862728791040648,0.5746296821260362,0.05,1,3.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,2,0.9123208180635202,0.574075528793773,0.5738945110642818,0.05,1,5.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,2,0.9123208180635202,0.5800192288644723,0.5747492221360776,0.05,1,10.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,2,0.9123208180635202,0.5892366174958759,0.5822315729074521,0.05,1,50.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,3,0.9123208180635202,0.8151885829044124,0.706364480906045,0.05,1,0.5,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,3,0.9123208180635202,0.8258421593707413,0.7072132149773387,0.05,1,1.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,3,0.9123208180635202,0.7553511231637801,0.7093692044441562,0.05,1,3.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,3,0.9123208180635202,0.7236012964967947,0.7104698263937512,0.05,1,5.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,3,0.9123208180635202,0.7158055801276687,0.7117847665042062,0.05,1,10.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,3,0.9123208180635202,0.720112435918016,0.7156467626857567,0.05,1,50.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,4,0.9123208180635202,0.8549057512406545,0.7351471537523608,0.05,1,0.5,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,4,0.9123208180635202,0.8546752097927176,0.7339380919365139,0.05,1,1.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,4,0.9123208180635202,0.7962107524531318,0.7296858830079,0.05,1,3.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,4,0.9123208180635202,0.7622297968844458,0.7264822107387914,0.05,1,5.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,4,0.9123208180635202,0.7380605145685117,0.7218688202084096,0.05,1,10.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,4,0.9123208180635202,0.725510521228598,0.719285048277087,0.05,1,50.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,5,0.9123208180635202,0.8702444422433904,0.9143982526665961,0.05,1,0.5,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,5,0.9123208180635202,0.8881754437495945,0.9145297466776416,0.05,1,1.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,5,0.9123208180635202,0.912812639819119,0.9133249541478675,0.05,1,3.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,5,0.9123208180635202,0.9047394198552541,0.9111954342547023,0.05,1,5.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,5,0.9123208180635202,0.8913825314475612,0.9058306493754888,0.05,1,10.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,5,0.9123208180635202,0.8779914887512852,0.8897841107418653,0.05,1,50.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,6,0.9123208180635202,0.830252331884053,0.907937968981075,0.05,1,0.5,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,6,0.9123208180635202,0.8502872375669851,0.9077595128232276,0.05,1,1.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,6,0.9123208180635202,0.8969078414831159,0.9061995156921879,0.05,1,3.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,6,0.9123208180635202,0.8937528390752385,0.9040563340835892,0.05,1,5.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,6,0.9123208180635202,0.882678311002121,0.898781204211907,0.05,1,10.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,6,0.9123208180635202,0.8722108754085707,0.8842178155600109,0.05,1,50.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,7,0.9123208180635202,0.8294949605347195,0.9101007893056091,0.05,1,0.5,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,7,0.9123208180635202,0.8411313266550314,0.9094919891116129,0.05,1,1.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,7,0.9123208180635202,0.8783612089251988,0.906658037016418,0.05,1,3.0,rnd,svae,pendigits
