hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,mpwmutualinf,varOfDists,knn5auc,knn9auc,knn15auc,knnsqrtauc,knn5a3auc,knn5a5auc,knn5a9auc,knn5asqrtauc
32,8,3,relu,Dense,128,16,0.1,1,0.5384615384615384,0.9751667902149741,0.08945676181237049,0.47014757184632,0.8825055596738324,1.0,0.23684210526315788,0.01,1,svae,breast-cancer-wisconsin,0.778486517810965,4.475643506347606,0.9255003706449223,0.9262416604892514,0.9236471460340994,0.9240177909562639,0.9258710155670868,0.9255003706449223,0.9262416604892514,0.9240177909562639
32,8,3,relu,Dense,128,16,0.1,2,0.5964912280701754,0.9340252038547071,0.08945676181237049,0.47014757184632,0.8825055596738324,1.0,0.23684210526315788,0.01,1,svae,breast-cancer-wisconsin,0.778486517810965,4.475643506347606,0.9255003706449223,0.9262416604892514,0.9236471460340994,0.9240177909562639,0.9258710155670868,0.9255003706449223,0.9262416604892514,0.9240177909562639
32,8,3,relu,Dense,128,16,0.1,3,0.5098039215686274,0.9532987398072647,0.08945676181237049,0.47014757184632,0.8825055596738324,1.0,0.23684210526315788,0.01,1,svae,breast-cancer-wisconsin,0.778486517810965,4.475643506347606,0.9255003706449223,0.9262416604892514,0.9236471460340994,0.9240177909562639,0.9258710155670868,0.9255003706449223,0.9262416604892514,0.9240177909562639
32,8,3,relu,Dense,128,16,0.1,1,0.23255813953488372,0.7898443291326909,0.09356824320040275,0.5278664781911511,0.6578947368421053,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8063370396848563,NaN,0.9318013343217199,0.9277242401779097,0.9258710155670868,0.9255003706449223,0.9321719792438844,0.9318013343217199,0.9277242401779097,0.9255003706449223
32,8,3,relu,Dense,1024,16,0.1,1,0.14634146341463414,0.6764269829503337,0.10456902848387413,0.28472972050641243,0.9308747220163084,1.0,0.13157894736842105,0.05,1,svae,breast-cancer-wisconsin,0.7948536217849137,717.66877845867,0.9195700518902892,0.9184581171237954,0.921423276501112,0.9206819866567828,0.9258710155670867,0.9258710155670867,0.9236471460340994,0.9243884358784284
32,8,3,relu,Dense,1024,16,0.1,2,0.14285714285714285,0.8046701260192735,0.10456902848387413,0.28472972050641243,0.9308747220163084,1.0,0.13157894736842105,0.05,1,svae,breast-cancer-wisconsin,0.7948536217849137,717.66877845867,0.9195700518902892,0.9184581171237954,0.921423276501112,0.9206819866567828,0.9258710155670867,0.9258710155670867,0.9236471460340994,0.9243884358784284
32,8,3,relu,Dense,1024,16,0.1,3,0.18604651162790697,0.8346923647146034,0.10456902848387413,0.28472972050641243,0.9308747220163084,1.0,0.13157894736842105,0.05,1,svae,breast-cancer-wisconsin,0.7948536217849137,717.66877845867,0.9195700518902892,0.9184581171237954,0.921423276501112,0.9206819866567828,0.9258710155670867,0.9258710155670867,0.9236471460340994,0.9243884358784284
32,8,3,relu,Dense,1024,16,0.1,4,0.19047619047619047,0.8636026686434396,0.10456902848387413,0.28472972050641243,0.9308747220163084,1.0,0.13157894736842105,0.05,1,svae,breast-cancer-wisconsin,0.7948536217849137,717.66877845867,0.9195700518902892,0.9184581171237954,0.921423276501112,0.9206819866567828,0.9258710155670867,0.9258710155670867,0.9236471460340994,0.9243884358784284
32,8,3,relu,Dense,1024,16,0.1,5,0.3111111111111111,0.8495181616011861,0.10456902848387413,0.28472972050641243,0.9308747220163084,1.0,0.13157894736842105,0.05,1,svae,breast-cancer-wisconsin,0.7948536217849137,717.66877845867,0.9195700518902892,0.9184581171237954,0.921423276501112,0.9206819866567828,0.9258710155670867,0.9258710155670867,0.9236471460340994,0.9243884358784284
32,8,3,relu,Dense,1024,16,0.1,6,0.34782608695652173,0.8628613787991105,0.10456902848387413,0.28472972050641243,0.9308747220163084,1.0,0.13157894736842105,0.05,1,svae,breast-cancer-wisconsin,0.7948536217849137,717.66877845867,0.9195700518902892,0.9184581171237954,0.921423276501112,0.9206819866567828,0.9258710155670867,0.9258710155670867,0.9236471460340994,0.9243884358784284
32,8,3,relu,Dense,1024,16,0.1,7,0.3829787234042553,0.8643439584877688,0.10456902848387413,0.28472972050641243,0.9308747220163084,1.0,0.13157894736842105,0.05,1,svae,breast-cancer-wisconsin,0.7948536217849137,717.66877845867,0.9195700518902892,0.9184581171237954,0.921423276501112,0.9206819866567828,0.9258710155670867,0.9258710155670867,0.9236471460340994,0.9243884358784284
32,8,3,relu,Dense,1024,16,0.1,8,0.375,0.9077094143810229,0.10456902848387413,0.28472972050641243,0.9308747220163084,1.0,0.13157894736842105,0.05,1,svae,breast-cancer-wisconsin,0.7948536217849137,717.66877845867,0.9195700518902892,0.9184581171237954,0.921423276501112,0.9206819866567828,0.9258710155670867,0.9258710155670867,0.9236471460340994,0.9243884358784284
