hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,model,dataset
32,16,3,leakyrelu,ResDense,1024,64,5,0.2857142857142857,0.8779461279461311,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,1,0.08333333333333333,0.8755260942760974,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,2,0.08,0.8767887205387237,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,3,0.0625,0.8611111111111142,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,4,0.10810810810810811,0.8483796296296328,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,5,0.18604651162790697,0.8676346801346831,autoencoder,abalone
16,4,4,leakyrelu,ResDense,1024,64,1,0.08333333333333333,0.8465909090909122,autoencoder,abalone
16,4,4,leakyrelu,ResDense,1024,64,2,0.3888888888888889,0.8383838383838415,autoencoder,abalone
16,4,4,leakyrelu,ResDense,1024,64,3,0.3225806451612903,0.8359638047138078,autoencoder,abalone
16,4,4,leakyrelu,ResDense,1024,64,4,0.25806451612903225,0.8365951178451209,autoencoder,abalone
16,4,4,leakyrelu,ResDense,1024,64,5,0.3902439024390244,0.8320707070707102,autoencoder,abalone
32,4,4,leakyrelu,ResDense,1024,64,1,0.0,0.8344907407407438,autoencoder,abalone
32,4,4,leakyrelu,ResDense,1024,64,2,0.08,0.8710016835016864,autoencoder,abalone
32,4,4,leakyrelu,ResDense,1024,64,3,0.15384615384615385,0.8796296296296326,autoencoder,abalone
32,4,4,leakyrelu,ResDense,1024,64,4,0.14814814814814814,0.86700336700337,autoencoder,abalone
32,4,4,leakyrelu,ResDense,1024,64,5,0.14285714285714285,0.8733164983165015,autoencoder,abalone
8,16,4,leakyrelu,ResDense,1024,64,1,0.08,0.9068813131313163,autoencoder,abalone
8,16,4,leakyrelu,ResDense,1024,64,2,0.1935483870967742,0.9139309764309791,autoencoder,abalone
8,16,4,leakyrelu,ResDense,1024,64,3,0.25,0.9158249158249187,autoencoder,abalone
8,16,4,leakyrelu,ResDense,1024,64,4,0.3018867924528302,0.9143518518518545,autoencoder,abalone
8,16,4,leakyrelu,ResDense,1024,64,5,0.3018867924528302,0.9145622895622922,autoencoder,abalone
16,16,4,leakyrelu,ResDense,1024,64,1,0.0,0.8153409090909121,autoencoder,abalone
16,16,4,leakyrelu,ResDense,1024,64,2,0.08,0.7915614478114509,autoencoder,abalone
16,16,4,leakyrelu,ResDense,1024,64,3,0.07407407407407407,0.7779882154882184,autoencoder,abalone
16,16,4,leakyrelu,ResDense,1024,64,4,0.13793103448275862,0.7692550505050535,autoencoder,abalone
16,16,4,leakyrelu,ResDense,1024,64,5,0.125,0.7687289562289591,autoencoder,abalone
32,16,4,leakyrelu,ResDense,1024,64,1,0.0,0.7354797979798009,autoencoder,abalone
32,16,4,leakyrelu,ResDense,1024,64,2,0.14814814814814814,0.8171296296296326,autoencoder,abalone
32,16,4,leakyrelu,ResDense,1024,64,3,0.26666666666666666,0.869949494949498,autoencoder,abalone
32,16,4,leakyrelu,ResDense,1024,64,4,0.3125,0.87436868686869,autoencoder,abalone
32,16,4,leakyrelu,ResDense,1024,64,5,0.35294117647058826,0.8805765993266024,autoencoder,abalone
8,4,5,leakyrelu,ResDense,1024,64,1,0.07692307692307693,0.8852062289562321,autoencoder,abalone
8,4,5,leakyrelu,ResDense,1024,64,2,0.2222222222222222,0.8927819865319896,autoencoder,abalone
8,4,5,leakyrelu,ResDense,1024,64,3,0.34782608695652173,0.8972011784511815,autoencoder,abalone
8,4,5,leakyrelu,ResDense,1024,64,4,0.375,0.9010942760942792,autoencoder,abalone
8,4,5,leakyrelu,ResDense,1024,64,5,0.3333333333333333,0.9006734006734037,autoencoder,abalone
16,4,5,leakyrelu,ResDense,1024,64,1,0.0,0.8853114478114508,autoencoder,abalone
16,4,5,leakyrelu,ResDense,1024,64,2,0.08695652173913043,0.8784722222222254,autoencoder,abalone
16,4,5,leakyrelu,ResDense,1024,64,3,0.08695652173913043,0.8655303030303061,autoencoder,abalone
16,4,5,leakyrelu,ResDense,1024,64,4,0.08,0.5760732323232339,autoencoder,abalone
16,4,5,leakyrelu,ResDense,1024,64,5,0.07692307692307693,0.7609427609427638,autoencoder,abalone
32,4,5,leakyrelu,ResDense,1024,64,1,0.2,0.6369949494949515,autoencoder,abalone
32,4,5,leakyrelu,ResDense,1024,64,2,0.32432432432432434,0.633733164983167,autoencoder,abalone
32,4,5,leakyrelu,ResDense,1024,64,3,0.26666666666666666,0.6333122895622921,autoencoder,abalone
32,4,5,leakyrelu,ResDense,1024,64,4,0.19753086419753085,0.6273148148148168,autoencoder,abalone
32,4,5,leakyrelu,ResDense,1024,64,5,0.29473684210526313,0.6385732323232343,autoencoder,abalone
8,16,5,leakyrelu,ResDense,1024,64,1,0.12121212121212122,0.7304292929292957,autoencoder,abalone
