hidden,latent,layers,nonlinearity,layertype,β,anomaliesSeen,auc,aucpxv,ar,i,α,model,dataset
32,8,3,relu,Dense,0.1,5,0.8654292343387471,0.9837587006960556,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,1,0.7703016241299304,0.988399071925754,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,2,0.7981438515081206,0.988399071925754,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,3,0.8097447795823666,0.988399071925754,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,4,0.8190255220417634,0.988399071925754,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,5,0.8283062645011601,0.988399071925754,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,1,0.8955916473317865,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,2,0.9095127610208816,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,3,0.9211136890951276,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,4,0.925754060324826,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,5,0.9303944315545244,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,1,0.8375870069605569,0.988399071925754,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,2,0.851508120649652,0.988399071925754,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,3,0.8607888631090488,0.988399071925754,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,4,0.8607888631090488,0.988399071925754,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,5,0.8607888631090488,0.988399071925754,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,1,0.7354988399071926,0.9837587006960556,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,2,0.7540603248259861,0.9837587006960556,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,3,0.7540603248259861,0.9837587006960556,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,4,0.7610208816705336,0.9837587006960556,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,5,0.7540603248259861,0.9837587006960556,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,1,0.6218097447795823,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,2,0.6751740139211138,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,3,0.6960556844547564,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,4,0.7099767981438515,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,5,0.7169373549883991,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,1,0.9791183294663574,0.988399071925754,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,2,0.9396751740139211,0.988399071925754,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,3,0.9211136890951276,0.988399071925754,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,4,0.9095127610208816,0.988399071925754,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,5,0.9071925754060325,0.988399071925754,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,1,0.7842227378190255,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,2,0.7819025522041764,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,3,0.7888631090487239,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,4,0.7958236658932715,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,5,0.8259860788863109,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,1,0.8422273781902552,0.988399071925754,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,2,0.8677494199535962,0.988399071925754,0.01,1,0.5,svae,abalone
