hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,rsTrn,rsTst,model,dataset
16,16,3,leakyrelu,Dense,1024,64,4,0.0,0.8472222222222223,13.242470741271973,15.068689346313477,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,5,0.0,0.8298611111111114,13.242470741271973,15.068689346313477,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9722222222222224,12.747662544250488,13.552029609680176,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,2,0.0,0.9895833333333336,12.747662544250488,13.552029609680176,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,3,0.0,0.8506944444444446,12.747662544250488,13.552029609680176,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,4,0.0,0.8645833333333337,12.747662544250488,13.552029609680176,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,5,0.4,0.8437500000000003,12.747662544250488,13.552029609680176,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,1,0.0,0.8125000000000002,20.84050750732422,21.721885681152344,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,2,0.0,0.7986111111111114,20.84050750732422,21.721885681152344,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,3,0.0,0.7638888888888891,20.84050750732422,21.721885681152344,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,4,0.0,0.6736111111111113,20.84050750732422,21.721885681152344,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,5,0.0,0.7708333333333333,20.84050750732422,21.721885681152344,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,1,0.0,0.7916666666666667,20.84295654296875,21.676197052001953,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,2,0.0,0.7638888888888892,20.84295654296875,21.676197052001953,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,3,0.0,0.7083333333333335,20.84295654296875,21.676197052001953,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,4,0.0,0.6736111111111112,20.84295654296875,21.676197052001953,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,5,0.0,0.6458333333333335,20.84295654296875,21.676197052001953,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9409722222222225,20.836292266845703,21.737987518310547,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9305555555555558,20.836292266845703,21.737987518310547,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,3,0.0,0.8472222222222223,20.836292266845703,21.737987518310547,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,4,0.0,0.9548611111111115,20.836292266845703,21.737987518310547,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,5,0.0,0.7708333333333336,20.836292266845703,21.737987518310547,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9722222222222224,20.834869384765625,21.713787078857422,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9444444444444446,20.834869384765625,21.713787078857422,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,3,0.0,0.9513888888888893,20.834869384765625,21.713787078857422,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,4,0.0,0.8437500000000003,20.834869384765625,21.713787078857422,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,5,0.0,0.791666666666667,20.834869384765625,21.713787078857422,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9861111111111114,20.838825225830078,21.67268180847168,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,2,0.0,0.9861111111111114,20.838825225830078,21.67268180847168,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,3,0.0,0.9027777777777779,20.838825225830078,21.67268180847168,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,4,0.0,0.9444444444444446,20.838825225830078,21.67268180847168,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,5,0.0,0.7881944444444448,20.838825225830078,21.67268180847168,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9861111111111114,20.832998275756836,21.70905303955078,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,2,0.0,0.9305555555555558,20.832998275756836,21.70905303955078,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,3,0.0,0.9305555555555558,20.832998275756836,21.70905303955078,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,4,0.0,0.8298611111111114,20.832998275756836,21.70905303955078,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,5,0.0,0.8090277777777781,20.832998275756836,21.70905303955078,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,1,0.0,0.7187500000000003,20.83597755432129,21.76523780822754,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,2,0.0,0.6631944444444448,20.83597755432129,21.76523780822754,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,3,0.0,0.8333333333333335,20.83597755432129,21.76523780822754,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,4,0.0,0.6631944444444445,20.83597755432129,21.76523780822754,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,5,0.0,0.6354166666666666,20.83597755432129,21.76523780822754,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,1,0.0,0.7361111111111114,20.833158493041992,21.69293975830078,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,2,0.0,0.791666666666667,20.833158493041992,21.69293975830078,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,3,0.0,0.6736111111111114,20.833158493041992,21.69293975830078,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,4,0.0,0.6875000000000002,20.833158493041992,21.69293975830078,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,5,0.0,0.6805555555555558,20.833158493041992,21.69293975830078,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9305555555555558,20.833040237426758,21.74869155883789,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,2,0.0,0.8923611111111114,20.833040237426758,21.74869155883789,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,3,0.0,0.9201388888888892,20.833040237426758,21.74869155883789,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,4,0.0,0.8888888888888891,20.833040237426758,21.74869155883789,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,5,0.0,0.7743055555555558,20.833040237426758,21.74869155883789,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9444444444444446,20.834630966186523,21.7391357421875,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9027777777777779,20.834630966186523,21.7391357421875,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,3,0.0,0.9166666666666669,20.834630966186523,21.7391357421875,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,4,0.0,0.8888888888888891,20.834630966186523,21.7391357421875,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,5,0.0,0.8888888888888891,20.834630966186523,21.7391357421875,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9722222222222224,20.831663131713867,21.70342254638672,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,2,0.0,1.0000000000000004,20.831663131713867,21.70342254638672,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,3,0.0,0.8472222222222225,20.831663131713867,21.70342254638672,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,4,0.0,0.822916666666667,20.831663131713867,21.70342254638672,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,5,0.0,0.8020833333333336,20.831663131713867,21.70342254638672,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,1,0.0,0.947916666666667,20.834012985229492,21.720233917236328,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,2,0.0,0.9583333333333336,20.834012985229492,21.720233917236328,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,3,0.0,0.9444444444444448,20.834012985229492,21.720233917236328,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,4,0.0,0.9201388888888892,20.834012985229492,21.720233917236328,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,5,0.0,0.8333333333333335,20.834012985229492,21.720233917236328,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,1,0.0,0.7500000000000003,20.841907501220703,21.79433822631836,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,2,0.0,0.7708333333333337,20.841907501220703,21.79433822631836,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,3,0.0,0.6180555555555558,20.841907501220703,21.79433822631836,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,4,0.0,0.6180555555555555,20.841907501220703,21.79433822631836,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,5,0.0,0.6284722222222224,20.841907501220703,21.79433822631836,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,1,0.0,0.8819444444444446,20.832792282104492,21.72970199584961,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,2,0.0,0.729166666666667,20.832792282104492,21.72970199584961,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,3,0.0,0.7361111111111114,20.832792282104492,21.72970199584961,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,4,0.0,0.6631944444444446,20.832792282104492,21.72970199584961,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,5,0.0,0.6666666666666667,20.832792282104492,21.72970199584961,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,1,0.0,1.0000000000000004,20.828475952148438,21.712871551513672,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9305555555555558,20.828475952148438,21.712871551513672,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,3,0.0,0.8888888888888891,20.828475952148438,21.712871551513672,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,4,0.0,0.961805555555556,20.828475952148438,21.712871551513672,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,5,0.0,0.7743055555555559,20.828475952148438,21.712871551513672,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9305555555555558,20.83253288269043,21.716873168945312,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9166666666666669,20.83253288269043,21.716873168945312,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,3,0.0,0.9583333333333336,20.83253288269043,21.716873168945312,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,4,0.0,0.9166666666666669,20.83253288269043,21.716873168945312,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,5,0.0,0.9166666666666669,20.83253288269043,21.716873168945312,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9444444444444448,20.835058212280273,21.71144676208496,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,2,0.0,0.9444444444444446,20.835058212280273,21.71144676208496,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,3,0.0,0.8055555555555558,20.835058212280273,21.71144676208496,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,4,0.0,0.7569444444444446,20.835058212280273,21.71144676208496,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,5,0.0,0.8888888888888891,20.835058212280273,21.71144676208496,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,1,0.0,1.0000000000000004,20.83917808532715,21.716907501220703,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,2,0.0,0.9583333333333336,20.83917808532715,21.716907501220703,vae,breast-cancer-wisconsin
