dataset,anom_sel,anom_ratio,anom_seen,pxvita,f2,f3,knnauc
ionosphere,rnd,0.05,9,0.890793650793651,0.975873015873016,0.9888888888888889,0.9359410430839002
ionosphere,rnd,0.05,10,0.890793650793651,0.9679365079365081,0.9892063492063492,0.9359410430839002
ionosphere,best,0.05,1,0.890793650793651,0.9104761904761907,0.9580952380952382,0.9359410430839002
ionosphere,best,0.05,2,0.890793650793651,0.9453968253968256,0.9777777777777779,0.9359410430839002
ionosphere,best,0.05,3,0.890793650793651,0.9542857142857144,0.9834920634920635,0.9359410430839002
ionosphere,best,0.05,4,0.890793650793651,0.9571428571428571,0.9866666666666667,0.9359410430839002
ionosphere,best,0.05,5,0.890793650793651,0.9673015873015874,0.9885714285714287,0.9359410430839002
ionosphere,best,0.05,6,0.890793650793651,0.9765079365079365,0.9885714285714287,0.9359410430839002
ionosphere,best,0.05,7,0.890793650793651,0.9771428571428572,0.9904761904761905,0.9359410430839002
ionosphere,best,0.05,8,0.890793650793651,0.9730158730158731,0.9892063492063492,0.9359410430839002
ionosphere,best,0.05,9,0.890793650793651,0.975873015873016,0.9888888888888889,0.9359410430839002
ionosphere,best,0.05,10,0.890793650793651,0.9780952380952381,0.9892063492063492,0.9359410430839002
iris,rnd,0.05,1,0.8877777777777778,0.8766666666666667,0.9155555555555555,0.8529870129870131
iris,rnd,0.05,2,0.8877777777777778,0.9111111111111111,0.943888888888889,0.8529870129870131
iris,rnd,0.05,3,0.8877777777777778,0.9444444444444444,0.9616666666666666,0.8529870129870131
iris,rnd,0.05,4,0.8877777777777778,0.9533333333333334,0.9672222222222222,0.8529870129870131
iris,rnd,0.05,5,0.8877777777777778,0.9600000000000002,0.9738888888888889,0.8529870129870131
iris,best,0.05,1,0.8877777777777778,0.8983333333333334,0.9383333333333335,0.8529870129870131
iris,best,0.05,2,0.8877777777777778,0.9083333333333332,0.9377777777777778,0.8529870129870131
iris,best,0.05,3,0.8877777777777778,0.9227777777777778,0.9505555555555555,0.8529870129870131
iris,best,0.05,4,0.8877777777777778,0.9438888888888888,0.9700000000000001,0.8529870129870131
iris,best,0.05,5,0.8877777777777778,0.9555555555555555,0.9788888888888888,0.8529870129870131
magic-telescope,rnd,0.05,1,0.9240777780664005,0.6980469618123202,0.6849706903568243,0.9332572798352886
magic-telescope,rnd,0.05,2,0.9240777780664005,0.7456475684974009,0.7166095915121814,0.9332572798352886
magic-telescope,rnd,0.05,3,0.9240777780664005,0.7850176637140556,0.7411996750107512,0.9332572798352886
magic-telescope,rnd,0.05,4,0.9240777780664005,0.7913864861042562,0.7490645735742756,0.9332572798352886
magic-telescope,rnd,0.05,5,0.9240777780664005,0.8065887529475602,0.7550247061098556,0.9332572798352886
magic-telescope,rnd,0.05,6,0.9240777780664005,0.8361738865654754,0.7635728469462266,0.9332572798352886
magic-telescope,rnd,0.05,7,0.9240777780664005,0.8378830385051652,0.7731680390679794,0.9332572798352886
magic-telescope,rnd,0.05,8,0.9240777780664005,0.845819010427941,0.7797638632736172,0.9332572798352886
magic-telescope,rnd,0.05,9,0.9240777780664005,0.8376806417816105,0.7701267486932604,0.9332572798352886
magic-telescope,rnd,0.05,10,0.9240777780664005,0.8416686148704228,0.7809244154667174,0.9332572798352886
magic-telescope,best,0.05,1,0.9240777780664005,0.7508626934854953,0.7505416006442062,0.9332572798352886
magic-telescope,best,0.05,2,0.9240777780664005,0.7583801623791754,0.7461901793213325,0.9332572798352886
magic-telescope,best,0.05,3,0.9240777780664005,0.7661819247098618,0.7528735283846072,0.9332572798352886
magic-telescope,best,0.05,4,0.9240777780664005,0.7635841032345956,0.7397857841736585,0.9332572798352886
magic-telescope,best,0.05,5,0.9240777780664005,0.763096475050004,0.7401957728307833,0.9332572798352886
magic-telescope,best,0.05,6,0.9240777780664005,0.7651922372017445,0.7375775312939247,0.9332572798352886
magic-telescope,best,0.05,7,0.9240777780664005,0.7592540399973446,0.7439099150583163,0.9332572798352886
magic-telescope,best,0.05,8,0.9240777780664005,0.7560176406242334,0.7464849353340665,0.9332572798352886
magic-telescope,best,0.05,9,0.9240777780664005,0.7544668704343486,0.7496300577534181,0.9332572798352886
magic-telescope,best,0.05,10,0.9240777780664005,0.7543096431756589,0.7493546394668559,0.9332572798352886
musk-2,rnd,0.05,1,0.4843923101987618,0.8115272964246572,0.8520972185195059,0.6280175176244394
musk-2,rnd,0.05,2,0.4843923101987618,0.8269705856216121,0.8569196362451494,0.6280175176244394
musk-2,rnd,0.05,3,0.4843923101987618,0.8205278592375367,0.8302378624959271,0.6280175176244394
musk-2,rnd,0.05,4,0.4843923101987618,0.8328860452027607,0.847405136408069,0.6280175176244394
musk-2,rnd,0.05,5,0.4843923101987618,0.8387156017654552,0.8490595100565775,0.6280175176244394
musk-2,rnd,0.05,6,0.4843923101987618,0.8541811072602862,0.8646627565982404,0.6280175176244394
musk-2,rnd,0.05,7,0.4843923101987618,0.8562990609911431,0.8661423620367902,0.6280175176244394
musk-2,rnd,0.05,8,0.4843923101987618,0.8608000829408453,0.8678944873959538,0.6280175176244394
musk-2,rnd,0.05,9,0.4843923101987618,0.861705026807666,0.8731923338961461,0.6280175176244394
musk-2,rnd,0.05,10,0.4843923101987618,0.8668399537901003,0.8803089546491305,0.6280175176244394
musk-2,best,0.05,1,0.4843923101987618,0.5280902870345686,0.6713972570277555,0.6280175176244394
musk-2,best,0.05,2,0.4843923101987618,0.5370775200687224,0.6719659942533843,0.6280175176244394
