hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,aucpxv,aucf2,aucf3,ar,i,κ,anom_sel,model,dataset
32,8,3,relu,Dense,32,0,0.01,4,0.8925129725722758,0.9117865085248332,0.9336545589325427,0.05,1,10.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,4,0.8925129725722758,0.9032616753150482,0.9217939214232764,0.05,1,50.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,5,0.8925129725722758,0.9833209785025945,0.9481097108969607,0.05,1,0.5,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,5,0.8925129725722758,0.9662713120830244,0.9477390659747962,0.05,1,1.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,5,0.8925129725722758,0.9736842105263157,0.9473684210526316,0.05,1,3.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,5,0.8925129725722758,0.9566345441067456,0.9466271312083026,0.05,1,5.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,5,0.8925129725722758,0.9303187546330616,0.943661971830986,0.05,1,10.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,5,0.8925129725722758,0.9203113417346183,0.9321719792438844,0.05,1,50.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,6,0.8925129725722758,0.9770200148257969,0.9525574499629356,0.05,1,0.5,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,6,0.8925129725722758,0.9833209785025945,0.952186805040771,0.05,1,1.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,6,0.8925129725722758,0.9807264640474425,0.9510748702742773,0.05,1,3.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,6,0.8925129725722758,0.9762787249814677,0.9499629355077837,0.05,1,5.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,6,0.8925129725722758,0.944403261675315,0.9462564862861379,0.05,1,10.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,6,0.8925129725722758,0.9355077835433654,0.9362490733876947,0.05,1,50.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,7,0.8925129725722758,0.9918458117123795,0.957375833951075,0.05,1,0.5,rnd,svae,breast-cancer-wisconsin
