dataset,anom_sel,anom_ratio,anom_seen,pxvita,f2,f3
breast-cancer-wisconsin,rnd,0.01,1,0.9365826538176428,0.9449592290585619,0.9470348406226835
breast-cancer-wisconsin,rnd,0.01,2,0.9365826538176428,0.9814306893995551,0.9722016308376574
breast-cancer-wisconsin,rnd,0.01,3,0.9365826538176428,0.9775759822090437,0.9718680504077094
breast-cancer-wisconsin,rnd,0.01,4,0.9365826538176428,0.9816160118606373,0.9734988880652337
breast-cancer-wisconsin,rnd,0.005,1,0.9542994810971089,0.9365085248332097,0.9552260934025203
breast-cancer-wisconsin,rnd,0.005,2,0.9542994810971089,0.957709414381023,0.9638250555967385
breast-cancer-wisconsin,best,0.05,1,0.9144922164566344,0.9441067457375836,0.9834692364714602
breast-cancer-wisconsin,best,0.05,2,0.9144922164566344,0.9586360266864344,0.9806893995552259
breast-cancer-wisconsin,best,0.05,3,0.9144922164566344,0.9659747961452927,0.9734618235730169
breast-cancer-wisconsin,best,0.05,4,0.9144922164566344,0.968754633061527,0.9755374351371386
breast-cancer-wisconsin,best,0.05,5,0.9144922164566344,0.9763528539659007,0.978650852483321
breast-cancer-wisconsin,best,0.05,6,0.9144922164566344,0.9747220163083767,0.980281690140845
breast-cancer-wisconsin,best,0.05,7,0.9144922164566344,0.9825055596738326,0.9787620459599704
breast-cancer-wisconsin,best,0.05,8,0.9144922164566344,0.9834321719792438,0.9817272053372867
breast-cancer-wisconsin,best,0.05,9,0.9144922164566344,0.9868791697553743,0.9830615270570793
breast-cancer-wisconsin,best,0.05,10,0.9144922164566344,0.9873980726464048,0.9857672349888805
breast-cancer-wisconsin,best,0.01,1,0.9365826538176428,0.9693106004447738,0.9703854707190512
breast-cancer-wisconsin,best,0.01,2,0.9365826538176428,0.9776871756856931,0.9803558191252779
breast-cancer-wisconsin,best,0.01,3,0.9365826538176428,0.9843587842846551,0.9765752409191994
breast-cancer-wisconsin,best,0.01,4,0.9365826538176428,0.9869532987398072,0.9766864343958487
breast-cancer-wisconsin,best,0.005,1,0.9542994810971089,0.9472201630837658,0.9544477390659749
breast-cancer-wisconsin,best,0.005,2,0.9542994810971089,0.968754633061527,0.9789844329132691
breast-tissue,rnd,0.05,1,0.9897435897435898,0.9512820512820515,0.9820512820512821
breast-tissue,rnd,0.05,2,0.9897435897435898,0.9820512820512821,0.9820512820512821
breast-tissue,rnd,0.05,3,0.9897435897435898,0.9974358974358974,1.0
breast-tissue,rnd,0.01,1,0.9923076923076923,0.9820512820512821,0.9923076923076923
breast-tissue,rnd,0.005,1,0.9974358974358974,0.9717948717948719,0.9897435897435898
breast-tissue,best,0.05,1,0.9897435897435898,0.9589743589743591,0.976923076923077
breast-tissue,best,0.05,2,0.9897435897435898,0.9871794871794872,0.9897435897435898
breast-tissue,best,0.05,3,0.9897435897435898,0.9974358974358974,1.0
breast-tissue,best,0.01,1,0.9923076923076923,0.976923076923077,0.9923076923076923
breast-tissue,best,0.005,1,0.9974358974358974,0.9743589743589745,0.9871794871794872
cardiotocography,rnd,0.05,1,0.618871302053891,0.8657339363105333,0.8566515922366685
cardiotocography,rnd,0.05,2,0.618871302053891,0.8890804597701149,0.8644055021669492
