dataset,prname,k,auc,anom_ratio
breast-cancer-wisconsin,px_κ,29,0.9189278030121921,0.05
breast-cancer-wisconsin,px_δ,29,0.48368395888118576,0.05
breast-cancer-wisconsin,px_γ,29,0.9174336600525939,0.05
breast-cancer-wisconsin,px_κ,39,0.9187186229978483,0.05
breast-cancer-wisconsin,px_δ,39,0.5154494382022472,0.05
breast-cancer-wisconsin,px_γ,39,0.9180014343772412,0.05
breast-cancer-wisconsin,px_κ,1,0.920702844848195,0.01
breast-cancer-wisconsin,px_δ,1,0.36504900788907485,0.01
breast-cancer-wisconsin,px_γ,1,0.920702844848195,0.01
breast-cancer-wisconsin,px_κ,3,0.9349748983982789,0.01
breast-cancer-wisconsin,px_δ,3,0.3064307912981114,0.01
breast-cancer-wisconsin,px_γ,3,0.9345923978006215,0.01
breast-cancer-wisconsin,px_κ,5,0.9340186469041356,0.01
breast-cancer-wisconsin,px_δ,5,0.3363853693521396,0.01
breast-cancer-wisconsin,px_γ,5,0.9351422424097537,0.01
breast-cancer-wisconsin,px_κ,9,0.9330145828352856,0.01
breast-cancer-wisconsin,px_δ,9,0.41443939756155873,0.01
breast-cancer-wisconsin,px_γ,9,0.9350705235476932,0.01
breast-cancer-wisconsin,px_κ,15,0.9311977049964142,0.01
breast-cancer-wisconsin,px_δ,15,0.4649055701649534,0.01
breast-cancer-wisconsin,px_γ,15,0.9339708343294285,0.01
breast-cancer-wisconsin,px_κ,21,0.9302175472149175,0.01
breast-cancer-wisconsin,px_δ,21,0.4906287353573989,0.01
breast-cancer-wisconsin,px_γ,21,0.9331819268467607,0.01
breast-cancer-wisconsin,px_κ,29,0.9303131723643319,0.01
breast-cancer-wisconsin,px_δ,29,0.5058570404016256,0.01
breast-cancer-wisconsin,px_γ,29,0.932201769065264,0.01
breast-cancer-wisconsin,px_κ,39,0.9290700454219459,0.01
breast-cancer-wisconsin,px_δ,39,0.5182165909634234,0.01
breast-cancer-wisconsin,px_γ,39,0.9314606741573034,0.01
breast-cancer-wisconsin,px_κ,1,0.9262491035142242,0.005
breast-cancer-wisconsin,px_δ,1,0.4329189576858714,0.005
breast-cancer-wisconsin,px_γ,1,0.9262491035142242,0.005
breast-cancer-wisconsin,px_κ,3,0.9342816160650251,0.005
breast-cancer-wisconsin,px_δ,3,0.3796796557494621,0.005
breast-cancer-wisconsin,px_γ,3,0.9351661486971073,0.005
breast-cancer-wisconsin,px_κ,5,0.932536457088214,0.005
breast-cancer-wisconsin,px_δ,5,0.4175950274922305,0.005
breast-cancer-wisconsin,px_γ,5,0.9344250537891465,0.005
breast-cancer-wisconsin,px_κ,9,0.9288548888357638,0.005
breast-cancer-wisconsin,px_δ,9,0.4565383695912025,0.005
breast-cancer-wisconsin,px_γ,9,0.932727707387043,0.005
breast-cancer-wisconsin,px_κ,15,0.9294286397322494,0.005
breast-cancer-wisconsin,px_δ,15,0.4916327994262491,0.005
breast-cancer-wisconsin,px_γ,15,0.9317475496055462,0.005
breast-cancer-wisconsin,px_κ,21,0.9288548888357638,0.005
breast-cancer-wisconsin,px_δ,21,0.5107817355964619,0.005
breast-cancer-wisconsin,px_γ,21,0.9310064546975854,0.005
breast-cancer-wisconsin,px_κ,29,0.9287114511116424,0.005
breast-cancer-wisconsin,px_δ,29,0.5252928520200814,0.005
breast-cancer-wisconsin,px_γ,29,0.930695672961989,0.005
breast-cancer-wisconsin,px_κ,39,0.9278986373416206,0.005
breast-cancer-wisconsin,px_δ,39,0.5339469280420751,0.005
breast-cancer-wisconsin,px_γ,39,0.9300502032034424,0.005
breast-tissue,px_κ,1,0.7421875,0.05
breast-tissue,px_δ,1,0.5421875,0.05
breast-tissue,px_γ,1,0.7421875,0.05
breast-tissue,px_κ,3,0.721875,0.05
breast-tissue,px_δ,3,0.5875,0.05
breast-tissue,px_γ,3,0.7328125,0.05
breast-tissue,px_κ,5,0.7359375,0.05
breast-tissue,px_δ,5,0.6578125,0.05
breast-tissue,px_γ,5,0.7421875,0.05
breast-tissue,px_κ,9,0.740625,0.05
breast-tissue,px_δ,9,0.671875,0.05
breast-tissue,px_γ,9,0.746875,0.05
breast-tissue,px_κ,15,0.7359375,0.05
breast-tissue,px_δ,15,0.671875,0.05
breast-tissue,px_γ,15,0.7421875,0.05
breast-tissue,px_κ,21,0.721875,0.05
breast-tissue,px_δ,21,0.6734375,0.05
breast-tissue,px_γ,21,0.7390625,0.05
breast-tissue,px_κ,29,0.69921875,0.05
breast-tissue,px_δ,29,0.65625,0.05
breast-tissue,px_γ,29,0.716796875,0.05
breast-tissue,px_κ,39,0.650390625,0.05
breast-tissue,px_δ,39,0.65234375,0.05
breast-tissue,px_γ,39,0.697265625,0.05
breast-tissue,px_κ,1,0.9953125,0.01
breast-tissue,px_δ,1,0.64375,0.01
breast-tissue,px_γ,1,0.9953125,0.01
breast-tissue,px_κ,3,0.9921875,0.01
breast-tissue,px_δ,3,0.628125,0.01
breast-tissue,px_γ,3,0.9953125,0.01
breast-tissue,px_κ,5,0.9921875,0.01
breast-tissue,px_δ,5,0.6953125,0.01
breast-tissue,px_γ,5,0.9953125,0.01
breast-tissue,px_κ,9,0.978125,0.01
breast-tissue,px_δ,9,0.734375,0.01
breast-tissue,px_γ,9,0.990625,0.01
breast-tissue,px_κ,15,0.9671875,0.01
breast-tissue,px_δ,15,0.725,0.01
breast-tissue,px_γ,15,0.9921875,0.01
breast-tissue,px_κ,21,0.9671875,0.01
breast-tissue,px_δ,21,0.7203125,0.01
breast-tissue,px_γ,21,0.98125,0.01
breast-tissue,px_κ,29,0.96875,0.01
breast-tissue,px_δ,29,0.7390625,0.01
breast-tissue,px_γ,29,0.9765625,0.01
breast-tissue,px_κ,39,0.959375,0.01
breast-tissue,px_δ,39,0.7671875,0.01
breast-tissue,px_γ,39,0.9734375,0.01
breast-tissue,px_κ,1,0.9765625,0.005
breast-tissue,px_δ,1,0.6140625,0.005
breast-tissue,px_γ,1,0.9765625,0.005
breast-tissue,px_κ,3,0.9921875,0.005
breast-tissue,px_δ,3,0.659375,0.005
breast-tissue,px_γ,3,0.9921875,0.005
breast-tissue,px_κ,5,0.984375,0.005
breast-tissue,px_δ,5,0.7328125,0.005
breast-tissue,px_γ,5,0.99375,0.005
breast-tissue,px_κ,9,0.9640625,0.005
breast-tissue,px_δ,9,0.73125,0.005
breast-tissue,px_γ,9,0.9875,0.005
breast-tissue,px_κ,15,0.9453125,0.005
breast-tissue,px_δ,15,0.721875,0.005
