hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,rsTrn,rsTst,model,dataset
32,4,3,relu,Dense,1024,64,2,0.0,0.86363636365,0.3294516171039692,0.7366216960935053,svae,sonar
32,4,3,relu,Dense,1024,64,3,0.1,0.6404958677859504,0.3294516171039692,0.7366216960935053,svae,sonar
32,4,3,relu,Dense,1024,64,4,0.2962962962962963,0.6528925619983471,0.3294516171039692,0.7366216960935053,svae,sonar
32,4,3,relu,Dense,1024,64,5,0.25,0.6363636363727273,0.3294516171039692,0.7366216960935053,svae,sonar
32,8,3,relu,Dense,1024,64,1,0.8571428571428571,0.9421487603216941,0.34094580534595553,0.6281069613661376,svae,sonar
32,8,3,relu,Dense,1024,64,2,0.09090909090909091,0.636363636375,0.34094580534595553,0.6281069613661376,svae,sonar
32,8,3,relu,Dense,1024,64,3,0.09523809523809523,0.6404958677859504,0.34094580534595553,0.6281069613661376,svae,sonar
32,8,3,relu,Dense,1024,64,4,0.4,0.5888429752092975,0.34094580534595553,0.6281069613661376,svae,sonar
32,8,3,relu,Dense,1024,64,5,0.43478260869565216,0.5764462809946281,0.34094580534595553,0.6281069613661376,svae,sonar
32,2,3,relu,Dense,1024,64,1,0.28205128205128205,0.7832984949373889,0.6082843647172631,0.7543267701772216,svae,wall-following-robot
32,2,3,relu,Dense,1024,64,2,0.3386243386243386,0.7366522668278136,0.6082843647172631,0.7543267701772216,svae,wall-following-robot
32,2,3,relu,Dense,1024,64,3,0.36503856041131105,0.7645345596433217,0.6082843647172631,0.7543267701772216,svae,wall-following-robot
32,2,3,relu,Dense,1024,64,4,0.33985330073349634,0.6154589371895766,0.6082843647172631,0.7543267701772216,svae,wall-following-robot
32,2,3,relu,Dense,1024,64,5,0.33210332103321033,0.6162300260142349,0.6082843647172631,0.7543267701772216,svae,wall-following-robot
32,4,3,relu,Dense,1024,64,1,0.4290657439446367,0.8427234299508229,0.4052287725765916,0.5280207486438163,svae,wall-following-robot
32,4,3,relu,Dense,1024,64,2,0.44970414201183434,0.7127740616963313,0.4052287725765916,0.5280207486438163,svae,wall-following-robot
32,4,3,relu,Dense,1024,64,3,0.6271604938271605,0.7757130249015152,0.4052287725765916,0.5280207486438163,svae,wall-following-robot
32,4,3,relu,Dense,1024,64,4,0.5868544600938967,0.7123606466029294,0.4052287725765916,0.5280207486438163,svae,wall-following-robot
32,4,3,relu,Dense,1024,64,5,0.5667447306791569,0.694762634708901,0.4052287725765916,0.5280207486438163,svae,wall-following-robot
32,8,3,relu,Dense,1024,64,1,0.1273100616016427,0.84786324785,0.4049178399839407,0.5292852483631995,svae,wall-following-robot
32,8,3,relu,Dense,1024,64,2,0.2611036339165545,0.6243241360052227,0.4049178399839407,0.5292852483631995,svae,wall-following-robot
32,8,3,relu,Dense,1024,64,3,0.30886075949367087,0.6268743032378633,0.4049178399839407,0.5292852483631995,svae,wall-following-robot
32,8,3,relu,Dense,1024,64,4,0.28045977011494255,0.6806043292545215,0.4049178399839407,0.5292852483631995,svae,wall-following-robot
32,8,3,relu,Dense,1024,64,5,0.30869565217391304,0.6791178929923928,0.4049178399839407,0.5292852483631995,svae,wall-following-robot
32,2,3,relu,Dense,1024,64,1,0.8040201005025126,0.9845481196039909,0.5040414363181156,0.5457335040154374,svae,waveform-1
32,2,3,relu,Dense,1024,64,2,0.8040201005025126,0.9837571641179312,0.5040414363181156,0.5457335040154374,svae,waveform-1
