bes,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,bestof10auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,mpwmutualinf,knn5auc,bestof10knn5auc,knn9auc,knn15auc,knnsqrtauc,knn5a3auc,knn5a5auc,knn5a9auc,knn5asqrtauc,Betterauc,BetteraucBestof10
64,8,3,relu,Dense,32,16,0.1,2,0.618181818,0.975722758,,0.062982447,0.313219465,0.909191994,0.9375,0.394736842,0.01,1,svae,breast-cancer-wisconsin,0.781123966,0.92994811,,0.931801334,0.931801334,0.930318755,0.924759081,0.92994811,0.931801334,0.930318755,Better,
64,8,3,relu,Dense,32,16,0.1,2,0.774193548,0.99925871,,0.059341915,0.324113295,0.894736842,1,0.526315789,0.01,1,svae,breast-cancer-wisconsin,0.782368904,0.945515196,,0.945515196,0.945144552,0.945515196,0.942179392,0.945515196,0.945515196,0.945515196,Better,
64,8,3,relu,Dense,32,16,0.1,2,0.709677419,0.960711638,,0.062487444,0.361352076,0.878243143,1,0.421052632,0.01,1,svae,breast-cancer-wisconsin,0.766783387,0.948851001,,0.949962936,0.948851001,0.949221646,0.948480356,0.948851001,0.949962936,0.949221646,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.787878788,0.965159377,0.997034841,0.059780165,0.272963374,0.815789474,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.781215615,0.942550037,0.955522609,0.941438102,0.937731653,0.936249073,0.944032617,0.942550037,0.941438102,0.936249073,Better,Better
64,8,3,relu,Dense,32,16,0.1,3,0.754098361,0.972572276,,0.054576779,0.359914781,0.855263158,1,0.342105263,0.01,1,svae,breast-cancer-wisconsin,0.805731767,0.908080059,,0.908080059,0.907709414,0.906968125,0.904002965,0.908080059,0.908080059,0.906968125,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.761904762,0.987398073,,0.061656219,0.269394553,0.828947368,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.776413989,0.955522609,,0.955151964,0.955151964,0.955151964,0.952928095,0.955522609,0.955151964,0.955151964,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.757575758,0.963676798,,0.059793006,0.28718655,0.855263158,1,0.421052632,0.01,1,svae,breast-cancer-wisconsin,0.773672125,0.914381023,,0.910674574,0.909933284,0.910674574,0.914010378,0.914381023,0.910674574,0.910674574,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.764705882,0.948480356,,0.05885096,0.22687983,0.799851742,1,0.078947368,0.01,1,svae,breast-cancer-wisconsin,0.766763021,0.931060044,,0.930318755,0.928094885,0.927353595,0.92920682,0.931060044,0.930318755,0.927353595,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.68852459,0.980355819,,0.059926888,0.294060117,0.934210526,1,0.342105263,0.01,1,svae,breast-cancer-wisconsin,0.773303377,0.919940697,,0.919199407,0.919199407,0.917716827,0.920311342,0.919940697,0.919199407,0.917716827,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.528301887,0.980355819,,0.058190931,0.338915657,0.757227576,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.770157807,0.910303929,,0.909191994,0.906226835,0.90437361,0.914751668,0.910303929,0.909191994,0.90437361,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.545454545,0.997034841,,0.062982447,0.313219465,0.909191994,0.9375,0.394736842,0.01,1,svae,breast-cancer-wisconsin,0.781123966,0.92994811,,0.931801334,0.931801334,0.930318755,0.924759081,0.92994811,0.931801334,0.930318755,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.818181818,0.994069681,,0.059341915,0.324113295,0.894736842,1,0.526315789,0.01,1,svae,breast-cancer-wisconsin,0.782368904,0.945515196,,0.945515196,0.945144552,0.945515196,0.942179392,0.945515196,0.945515196,0.945515196,Better,
64,8,3,relu,Dense,32,16,0.1,3,0.695652174,0.921793921,,0.062487444,0.361352076,0.878243143,1,0.421052632,0.01,1,svae,breast-cancer-wisconsin,0.766783387,0.948851001,,0.949962936,0.948851001,0.949221646,0.948480356,0.948851001,0.949962936,0.949221646,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.097560976,0.78391401,0.983691623,0.067349111,0.248117542,0.890289103,1,0.236842105,0.05,1,svae,breast-cancer-wisconsin,0.75446256,0.918087472,0.921423277,0.921052632,0.923276501,0.924388436,0.936990363,0.936249073,0.934395849,0.932913269,Worse,Better
64,8,3,relu,Dense,32,16,0.1,1,0,0.537805782,,0.056491825,0.308219169,0.954225352,0.857142857,0.157894737,0.05,1,svae,breast-cancer-wisconsin,0.761477304,0.887694589,,0.891771683,0.893995552,0.894366197,0.900667161,0.904002965,0.904002965,0.904744255,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.509803922,0.983691623,,0.064757739,0.17893314,0.956263899,1,0.263157895,0.05,1,svae,breast-cancer-wisconsin,0.749798253,0.917346182,,0.92772424,0.930318755,0.931801334,0.935137139,0.944773907,0.948480356,0.945885841,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.592592593,0.974054855,,0.063640117,0.185646675,0.928650852,1,0.236842105,0.05,1,svae,breast-cancer-wisconsin,0.749824759,0.889918458,,0.898072646,0.899925871,0.901779096,0.899555226,0.906226835,0.907709414,0.909191994,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.1,0.85618977,,0.067033145,0.198924557,0.776315789,1,0.052631579,0.05,1,svae,breast-cancer-wisconsin,0.75257177,0.921423277,,0.92698295,0.925500371,0.924759081,0.930318755,0.931430689,0.9306894,0.92772424,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.272727273,0.939214233,,0.059393477,0.273771426,0.957561156,1,0.263157895,0.05,1,svae,breast-cancer-wisconsin,0.759287219,0.907338769,,0.909191994,0.908821349,0.908450704,0.915122313,0.915863603,0.917716827,0.916975537,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.05,0.649369904,,0.066479009,0.230121072,0.843587843,1,0.210526316,0.05,1,svae,breast-cancer-wisconsin,0.772722485,0.886953299,,0.890659748,0.895848777,0.895848777,0.900667161,0.901779096,0.902149741,0.900296516,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0,0.791326909,,0.071521937,0.23617122,0.921052632,1,0.184210526,0.05,1,svae,breast-cancer-wisconsin,0.770898189,0.912898443,,0.920311342,0.922905856,0.924388436,0.924017791,0.92772424,0.9306894,0.92994811,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.05,0.90585619,,0.062428463,0.222475877,0.902149741,1,0.184210526,0.05,1,svae,breast-cancer-wisconsin,0.753377999,0.915863603,,0.923276501,0.92772424,0.928836175,0.92994811,0.936249073,0.938843588,0.939214233,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.097560976,0.766493699,,0.066409367,0.20719139,0.947368421,1,0.157894737,0.05,1,svae,breast-cancer-wisconsin,0.752598119,0.912157153,,0.925129726,0.935878428,0.936619718,0.92698295,0.937361008,0.943291327,0.945885841,Worse,
64,8,3,relu,Dense,32,16,0.1,2,0.291666667,0.899555226,0.964788732,0.067349111,0.248117542,0.890289103,1,0.236842105,0.05,1,svae,breast-cancer-wisconsin,0.75446256,0.918087472,0.921423277,0.921052632,0.923276501,0.924388436,0.936990363,0.936249073,0.934395849,0.932913269,Worse,Better
64,8,3,relu,Dense,32,16,0.1,2,0.139534884,0.874907339,,0.056491825,0.308219169,0.954225352,0.857142857,0.157894737,0.05,1,svae,breast-cancer-wisconsin,0.761477304,0.887694589,,0.891771683,0.893995552,0.894366197,0.900667161,0.904002965,0.904002965,0.904744255,Worse,
64,8,3,relu,Dense,32,16,0.1,2,0.561403509,0.934766494,,0.064757739,0.17893314,0.956263899,1,0.263157895,0.05,1,svae,breast-cancer-wisconsin,0.749798253,0.917346182,,0.92772424,0.930318755,0.931801334,0.935137139,0.944773907,0.948480356,0.945885841,Better,
