hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,ar,i,model,dataset
32,8,3,relu,Dense,128,32,0.1,2,0.23255813953488372,0.9497776130467013,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,3,0.4489795918367347,0.969236471460341,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,4,0.5098039215686274,0.9785025945144551,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,5,0.5818181818181818,0.9670126019273535,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,6,0.5,0.9425500370644923,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,7,0.5925925925925926,0.9544106745737583,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,8,0.6071428571428571,0.9633061527057079,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,9,0.6896551724137931,0.9755374351371386,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,10,0.711864406779661,0.9822090437361009,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.34782608695652173,0.9453298739807264,0.10234293908043986,0.3222411732374021,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,2,0.3829787234042553,0.9362490733876946,0.10234293908043986,0.3222411732374021,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,3,0.5384615384615384,0.9662713120830244,0.10234293908043986,0.3222411732374021,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,4,0.5818181818181818,0.9388435878428465,0.10234293908043986,0.3222411732374021,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.34782608695652173,0.9028910303928837,0.10295717689851408,0.3112747756271483,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,2,0.2727272727272727,0.9173461823573017,0.10295717689851408,0.3112747756271483,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,1,0.14285714285714285,0.7494440326167531,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,2,0.23255813953488372,0.8943661971830986,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,3,0.22727272727272727,0.9203113417346183,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,4,0.49056603773584906,0.9725722757598221,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,5,0.30434782608695654,0.9866567828020756,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,6,0.5714285714285714,0.9818383988139363,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
