dataset,anom_ratio,anom_count,max_prob,max_mem,max,mean_prob,mean_mem,mean
glass,0.05,5,0.9565217391304348,0.9594202898550726,mem,0.7899637681159423,0.8165217391304347,mem
glass,0.01,1,0.9246376811594204,0.7971014492753622,prob,0.6832971014492754,0.6431884057971013,prob
glass,0.005,1,0.9304347826086956,0.8,prob,0.6426086956521739,0.6402898550724637,prob
musk-2,0.05,1,0.8624811161468053,0.8059369353357623,prob,0.6846988025415444,0.6058726932077372,prob
musk-2,0.05,5,0.8492624189105128,0.8740928345033918,mem,0.7718021490565479,0.7559602624485324,prob
musk-2,0.05,10,0.8760256524186143,0.8981493823869191,mem,0.787439738292011,0.8305309324920762,mem
musk-2,0.01,1,0.8745371604609142,0.794336325128114,prob,0.6976871908231879,0.5860816745164253,prob
musk-2,0.01,5,0.85861548031636,0.878195444177849,mem,0.7770164067359815,0.7800675375455434,mem
musk-2,0.01,10,0.923524097277763,0.8874522349595664,prob,0.8031284250125893,0.8261465461062236,mem
musk-2,0.005,1,0.8612370034657426,0.7740158180040878,prob,0.6740285923753665,0.6404980893983827,prob
musk-2,0.005,5,0.8602446754939426,0.8350328801208566,prob,0.7761334014633136,0.7499592701205605,prob
musk-2,0.005,10,0.8982641665926123,0.8500548002014277,prob,0.810459618175894,0.8123674427560058,mem
ionosphere,0.05,1,0.9936507936507937,0.9904761904761905,prob,0.8562698412698412,0.6896031746031746,prob
ionosphere,0.05,5,0.9904761904761904,0.9904761904761905,mem,0.9479365079365077,0.871984126984127,prob
ionosphere,0.01,1,1.0,0.9904761904761905,prob,0.8851190476190475,0.7786507936507937,prob
ionosphere,0.005,1,0.9936507936507937,0.9063492063492063,prob,0.844325396825397,0.6963492063492064,prob
page-blocks,0.05,1,0.9425794054481745,0.8242019086373105,prob,0.7289030583410036,0.6490287264447997,prob
page-blocks,0.05,5,0.9695942127274784,0.9182612346396681,prob,0.8868557138012886,0.830054578630367,prob
page-blocks,0.05,10,0.9735180610053449,0.9605919682216733,prob,0.908854292819196,0.8847837846566231,prob
page-blocks,0.01,1,0.9558365224692793,0.8159343764633693,prob,0.7454807117828481,0.6608612281806585,prob
page-blocks,0.01,5,0.9727752749115923,0.9489980461496228,prob,0.9207215117311758,0.8773284729286763,prob
page-blocks,0.01,10,0.9797833002309095,0.9820439535597216,mem,0.9335042952413246,0.9288382664018471,prob
page-blocks,0.005,1,0.9817855931792859,0.8983997803936766,prob,0.7966306173198341,0.6693883317993186,prob
page-blocks,0.005,5,0.9761985499523649,0.9806229714673255,mem,0.9068992313778681,0.8644899804614962,prob
page-blocks,0.005,10,0.9696910978701415,0.98362641088989,mem,0.9325291866492271,0.9206014145230828,prob
pendigits,0.05,1,0.7438705859851293,0.6661567716000261,prob,0.5942837995109105,0.5679119818367493,prob
pendigits,0.05,5,0.8701786952378675,0.8270059667542154,prob,0.7216027369539156,0.7048819713172284,prob
pendigits,0.05,10,0.9154630126131788,0.8549749136750358,prob,0.787875835926213,0.7906535508506126,mem
pendigits,0.01,1,0.7901637356594681,0.6202179726697382,prob,0.5949452293289708,0.5696541494045201,prob
pendigits,0.01,5,0.8974466253855166,0.7817745885262082,prob,0.729307656281486,0.7112714488932304,prob
pendigits,0.01,10,0.9081138635672787,0.855871463750346,prob,0.7885745686313352,0.7821633283695767,prob
pendigits,0.005,1,0.7900834730812974,0.6493366383299919,prob,0.6005259867173971,0.5601628647251091,prob
pendigits,0.005,5,0.9004931879271421,0.8857718356905485,prob,0.7520982153530358,0.7037378453425505,prob
pendigits,0.005,10,0.8976208122572912,0.8654841882721004,prob,0.8062407036295761,0.7945252383115486,prob
sonar,0.05,1,0.9090909090909091,0.859504132231405,prob,0.6976756198347107,0.6635330578512397,prob
sonar,0.01,1,0.933884297520661,0.7644628099173554,prob,0.6894111570247935,0.5758264462809919,prob
sonar,0.005,1,0.884297520661157,0.8925619834710745,mem,0.6729855371900826,0.6365702479338842,prob
statlog-satimage,0.05,1,0.9793336203280572,0.9565727310859439,prob,0.8817666939863568,0.7579261595690665,prob
statlog-satimage,0.05,5,0.9874108660617701,0.97745159723602,prob,0.9512969953860079,0.9314601408481801,prob
statlog-satimage,0.05,10,0.986999690928759,0.9866602644766762,prob,0.9617954141554629,0.9515549456917677,prob
statlog-satimage,0.01,1,0.9779717751727488,0.9486058679382741,prob,0.8532358655098571,0.7781572179173013,prob
