hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,0.01,m1,0,0.8093162455834468,1,svae,letter-recognition U-O
32,3,3,relu,Dense,0.01,wass,0,0.6308361795921892,1,svae,letter-recognition U-R
32,3,3,relu,Dense,0.01,m1,0,0.4200970156099088,1,svae,letter-recognition U-R
32,3,3,relu,Dense,0.01,wass,0,0.6458051322646613,1,svae,letter-recognition U-F
32,3,3,relu,Dense,0.01,m1,0,0.7525219341645227,1,svae,letter-recognition U-F
32,3,3,relu,Dense,0.01,wass,0,0.8213606961856496,1,svae,letter-recognition U-C
32,3,3,relu,Dense,0.01,m1,0,0.7986824264248243,1,svae,letter-recognition U-C
32,3,3,relu,Dense,0.01,wass,0,0.5454522659266813,1,svae,letter-recognition U-H
32,3,3,relu,Dense,0.01,m1,0,0.5290073719931128,1,svae,letter-recognition U-H
32,3,3,relu,Dense,0.01,wass,0,0.7694444444444445,1,svae,libras 1-2
32,3,3,relu,Dense,0.01,m1,0,0.5333333333333333,1,svae,libras 1-2
32,3,3,relu,Dense,0.01,wass,0,0.9277777777777777,1,svae,libras 1-3
32,3,3,relu,Dense,0.01,m1,0,0.8000000000000002,1,svae,libras 1-3
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-4
32,3,3,relu,Dense,0.01,m1,0,0.888888888888889,1,svae,libras 1-4
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-5
32,3,3,relu,Dense,0.01,m1,0,0.7527777777777778,1,svae,libras 1-5
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-6
32,3,3,relu,Dense,0.01,m1,0,0.016666666666666666,1,svae,libras 1-6
32,3,3,relu,Dense,0.01,wass,0,0.7444444444444445,1,svae,libras 1-7
32,3,3,relu,Dense,0.01,m1,0,0.6722222222222222,1,svae,libras 1-7
32,3,3,relu,Dense,0.01,wass,0,0.8833333333333333,1,svae,libras 1-8
32,3,3,relu,Dense,0.01,m1,0,0.8611111111111112,1,svae,libras 1-8
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-9
32,3,3,relu,Dense,0.01,m1,0,0.48333333333333334,1,svae,libras 1-9
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-10
32,3,3,relu,Dense,0.01,m1,0,0.8833333333333334,1,svae,libras 1-10
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-11
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,libras 1-11
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-12
32,3,3,relu,Dense,0.01,m1,0,0.7166666666666667,1,svae,libras 1-12
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-13
32,3,3,relu,Dense,0.01,m1,0,0.7833333333333333,1,svae,libras 1-13
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-14
32,3,3,relu,Dense,0.01,m1,0,0.6638888888888889,1,svae,libras 1-14
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,libras 1-15
32,3,3,relu,Dense,0.01,m1,0,0.9611111111111111,1,svae,libras 1-15
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,multiple-features 0-1
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,multiple-features 0-1
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,multiple-features 0-2
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,multiple-features 0-2
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,multiple-features 0-3
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,multiple-features 0-3
32,3,3,relu,Dense,0.01,wass,0,0.995625,1,svae,multiple-features 0-4
32,3,3,relu,Dense,0.01,m1,0,0.997125,1,svae,multiple-features 0-4
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,multiple-features 0-5
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,multiple-features 0-5
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,multiple-features 0-6
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,multiple-features 0-6
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,multiple-features 0-7
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,multiple-features 0-7
32,3,3,relu,Dense,0.01,wass,0,0.9969583333333333,1,svae,multiple-features 0-8
32,3,3,relu,Dense,0.01,m1,0,0.9967916666666666,1,svae,multiple-features 0-8
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,multiple-features 0-9
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,multiple-features 0-9
32,3,3,relu,Dense,0.01,wass,0,0.921952833426611,1,svae,page-blocks 1-2
32,3,3,relu,Dense,0.01,m1,0,0.8868082632719761,1,svae,page-blocks 1-2
32,3,3,relu,Dense,0.01,wass,0,0.9173988100742934,1,svae,page-blocks 1-4
32,3,3,relu,Dense,0.01,m1,0,0.92304402108573,1,svae,page-blocks 1-4
32,3,3,relu,Dense,0.01,wass,0,0.677774337653147,1,svae,page-blocks 1-5
32,3,3,relu,Dense,0.01,m1,0,0.7177613634688251,1,svae,page-blocks 1-5
32,3,3,relu,Dense,0.01,wass,0,0.9656542169258344,1,svae,page-blocks 1-3
32,3,3,relu,Dense,0.01,m1,0,0.9643825994283777,1,svae,page-blocks 1-3
32,3,3,relu,Dense,0.01,wass,0,0.9997764854405099,1,svae,pendigits 4-8
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,pendigits 4-8
32,3,3,relu,Dense,0.01,wass,0,0.9833247100864394,1,svae,pendigits 4-9
32,3,3,relu,Dense,0.01,m1,0,0.9916582158847107,1,svae,pendigits 4-9
32,3,3,relu,Dense,0.01,wass,0,0.9997631300454254,1,svae,pendigits 4-1
32,3,3,relu,Dense,0.01,m1,0,0.9998802915283335,1,svae,pendigits 4-1
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,pendigits 4-7
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,pendigits 4-7
32,3,3,relu,Dense,0.01,wass,0,0.9979776909254611,1,svae,pendigits 4-0
32,3,3,relu,Dense,0.01,m1,0,0.9978707173975888,1,svae,pendigits 4-0
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,pendigits 4-2
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,pendigits 4-2
32,3,3,relu,Dense,0.01,wass,0,0.9740529950261112,1,svae,pendigits 4-5
32,3,3,relu,Dense,0.01,m1,0,0.9906261856964478,1,svae,pendigits 4-5
32,3,3,relu,Dense,0.01,wass,0,0.00645432783515112,1,svae,pendigits 4-3
32,3,3,relu,Dense,0.01,m1,0,0.0067854605158771284,1,svae,pendigits 4-3
32,3,3,relu,Dense,0.01,wass,0,0.9970543315248555,1,svae,pendigits 4-6
32,3,3,relu,Dense,0.01,m1,0,0.9974650985840942,1,svae,pendigits 4-6
32,3,3,relu,Dense,0.01,wass,0,0.9884210509483352,1,svae,statlog-satimage 1-3
32,3,3,relu,Dense,0.01,m1,0,0.9754381083505633,1,svae,statlog-satimage 1-3
32,3,3,relu,Dense,0.01,wass,0,0.9961737658400196,1,svae,statlog-satimage 1-4
32,3,3,relu,Dense,0.01,m1,0,0.9946613106326295,1,svae,statlog-satimage 1-4
32,3,3,relu,Dense,0.01,wass,0,0.9533822623770054,1,svae,statlog-satimage 1-5
32,3,3,relu,Dense,0.01,m1,0,0.936479781063262,1,svae,statlog-satimage 1-5
32,3,3,relu,Dense,0.01,wass,0,0.9998473577042599,1,svae,statlog-satimage 1-7
32,3,3,relu,Dense,0.01,m1,0,0.999164787438403,1,svae,statlog-satimage 1-7
32,3,3,relu,Dense,0.01,wass,0,0.9904890318056784,1,svae,statlog-satimage 1-2
32,3,3,relu,Dense,0.01,m1,0,0.9962299003958527,1,svae,statlog-satimage 1-2
32,3,3,relu,Dense,0.01,wass,0,0.7664064891337619,1,svae,statlog-segment 6-3
32,3,3,relu,Dense,0.01,m1,0,0.7186103458830729,1,svae,statlog-segment 6-3
32,3,3,relu,Dense,0.01,wass,0,0.094383226201408,1,svae,statlog-segment 6-2
32,3,3,relu,Dense,0.01,m1,0,0.6621365166819712,1,svae,statlog-segment 6-2
32,3,3,relu,Dense,0.01,wass,0,0.9984083256810529,1,svae,statlog-segment 6-7
32,3,3,relu,Dense,0.01,m1,0,0.9433578206305478,1,svae,statlog-segment 6-7
32,3,3,relu,Dense,0.01,wass,0,0.51917661463116,1,svae,statlog-segment 6-1
32,3,3,relu,Dense,0.01,m1,0,0.39524028160391794,1,svae,statlog-segment 6-1
32,3,3,relu,Dense,0.01,wass,0,0.22089072543618,1,svae,statlog-segment 6-4
32,3,3,relu,Dense,0.01,m1,0,0.17272727272727273,1,svae,statlog-segment 6-4
32,3,3,relu,Dense,0.01,wass,0,0.878292980051774,1,svae,statlog-vehicle bus-van
32,3,3,relu,Dense,0.01,m1,0,0.46078879244708393,1,svae,statlog-vehicle bus-van
32,3,3,relu,Dense,0.01,wass,0,0.6490015360983102,1,svae,statlog-vehicle bus-saab
32,3,3,relu,Dense,0.01,m1,0,0.6366429269655076,1,svae,statlog-vehicle bus-saab
32,3,3,relu,Dense,0.01,wass,0,0.5870854774156662,1,svae,statlog-vehicle bus-opel
32,3,3,relu,Dense,0.01,m1,0,0.5865851915380217,1,svae,statlog-vehicle bus-opel
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,synthetic-control-chart 2-1
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,synthetic-control-chart 2-1
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,synthetic-control-chart 2-3
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,synthetic-control-chart 2-3
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,synthetic-control-chart 2-4
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,synthetic-control-chart 2-4
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,synthetic-control-chart 2-5
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,synthetic-control-chart 2-5
32,3,3,relu,Dense,0.01,wass,0,0.9523809523809523,1,svae,synthetic-control-chart 2-6
32,3,3,relu,Dense,0.01,m1,0,0.9523809523809523,1,svae,synthetic-control-chart 2-6
32,3,3,relu,Dense,0.01,wass,0,0.3696529459241324,1,svae,wall-following-robot Move-Forward-Slight-Right-Turn
32,3,3,relu,Dense,0.01,m1,0,0.36496497980413584,1,svae,wall-following-robot Move-Forward-Slight-Right-Turn
32,3,3,relu,Dense,0.01,wass,0,0.42330925906101324,1,svae,wall-following-robot Move-Forward-Sharp-Right-Turn
32,3,3,relu,Dense,0.01,m1,0,0.4162444928164664,1,svae,wall-following-robot Move-Forward-Sharp-Right-Turn
