"hidden","latent","layers","nonlinearity","layertype","memorysize","k","β","anomaliesSeen","f1","auc","rsTrn","rsTst","knnauc","knnprec","knnrecall","model","dataset"
32,2,3,"relu","Dense",1024,16,0.05,5,0.0,0.6673553719008265,0.5383167795445968,0.7074480169687197,0.7148760330578512,0.5625,0.8181818181818182,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.05,1,0.0,0.5144628099173553,0.9812845177381844,1.0467252868326686,0.6033057851239669,0.5555555555555556,0.45454545454545453,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.05,2,0.0,0.3305785123966942,0.9812845177381844,1.0467252868326686,0.6033057851239669,0.5555555555555556,0.45454545454545453,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.05,3,0.0,0.40082644628099173,0.9812845177381844,1.0467252868326686,0.6033057851239669,0.5555555555555556,0.45454545454545453,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.05,4,0.0,0.39669421487603307,0.9812845177381844,1.0467252868326686,0.6033057851239669,0.5555555555555556,0.45454545454545453,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.05,5,0.0,0.6363636363636362,0.9812845177381844,1.0467252868326686,0.6033057851239669,0.5555555555555556,0.45454545454545453,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.05,1,0.0,0.5144628099173554,0.9815675368368109,1.0477359485483235,0.4256198347107438,0.14285714285714285,0.09090909090909091,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.05,2,0.15384615384615385,0.42148760330578516,0.9815675368368109,1.0477359485483235,0.4256198347107438,0.14285714285714285,0.09090909090909091,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.05,3,0.08333333333333333,0.5785123966942148,0.9815675368368109,1.0477359485483235,0.4256198347107438,0.14285714285714285,0.09090909090909091,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.05,4,0.0,0.7148760330578512,0.9815675368368109,1.0477359485483235,0.4256198347107438,0.14285714285714285,0.09090909090909091,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.05,5,0.08695652173913043,0.44421487603305787,0.9815675368368109,1.0477359485483235,0.4256198347107438,0.14285714285714285,0.09090909090909091,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.1,1,0.0,0.6239669421487604,0.8419881866903085,0.9622087977164204,0.5206611570247934,0.4,0.18181818181818182,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.1,2,0.0,0.47107438016528924,0.8419881866903085,0.9622087977164204,0.5206611570247934,0.4,0.18181818181818182,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.1,3,0.08,0.5991735537190083,0.8419881866903085,0.9622087977164204,0.5206611570247934,0.4,0.18181818181818182,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.1,4,0.0,0.6198347107438016,0.8419881866903085,0.9622087977164204,0.5206611570247934,0.4,0.18181818181818182,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.1,5,0.0,0.371900826446281,0.8419881866903085,0.9622087977164204,0.5206611570247934,0.4,0.18181818181818182,"svae","sonar"
