hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,mpwmutualinf,knn5auc,knn9auc,knn15auc,knnsqrtauc,knn5a3auc,knn5a5auc,knn5a9auc,knn5asqrtauc
32,8,3,relu,Dense,128,16,0.1,1,0.0,0.5481838398813936,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,2,0.0,0.51704966641957,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,3,0.05128205128205128,0.4964788732394366,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,4,0.0,0.48628613787991093,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,5,0.0,0.5333580429948109,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,6,0.0,0.5533728687916976,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,7,0.0,0.5429948109710897,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,8,0.0,0.49295774647887325,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,9,0.0,0.45922905856189766,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,10,0.0,0.5122312824314307,0.09790246663175195,0.35764338808812596,0.8552631578947368,1.0,0.42105263157894735,0.01,1,svae,breast-cancer-wisconsin,0.791157148948359,0.8902891030392884,0.8925129725722758,0.8910303928836175,0.8899184581171238,0.88880652335063,0.8902891030392884,0.8925129725722758,0.8899184581171238
32,8,3,relu,Dense,128,16,0.1,1,0.0,0.563565604151223,0.09772103473727127,0.772078533738918,0.5730170496664195,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8005145214337622,0.9036323202372127,0.8988139362490735,0.8954781319495924,0.8947368421052632,0.9114158636026686,0.9036323202372127,0.8988139362490735,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,2,0.0,0.517790956263899,0.09772103473727127,0.772078533738918,0.5730170496664195,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8005145214337622,0.9036323202372127,0.8988139362490735,0.8954781319495924,0.8947368421052632,0.9114158636026686,0.9036323202372127,0.8988139362490735,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,3,0.0,0.5285396590066715,0.09772103473727127,0.772078533738918,0.5730170496664195,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8005145214337622,0.9036323202372127,0.8988139362490735,0.8954781319495924,0.8947368421052632,0.9114158636026686,0.9036323202372127,0.8988139362490735,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,4,0.04878048780487805,0.49740548554484804,0.09772103473727127,0.772078533738918,0.5730170496664195,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8005145214337622,0.9036323202372127,0.8988139362490735,0.8954781319495924,0.8947368421052632,0.9114158636026686,0.9036323202372127,0.8988139362490735,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,5,0.05,0.5163083765752409,0.09772103473727127,0.772078533738918,0.5730170496664195,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8005145214337622,0.9036323202372127,0.8988139362490735,0.8954781319495924,0.8947368421052632,0.9114158636026686,0.9036323202372127,0.8988139362490735,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,6,0.0,0.5398443291326909,0.09772103473727127,0.772078533738918,0.5730170496664195,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8005145214337622,0.9036323202372127,0.8988139362490735,0.8954781319495924,0.8947368421052632,0.9114158636026686,0.9036323202372127,0.8988139362490735,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,7,0.0,0.505189028910304,0.09772103473727127,0.772078533738918,0.5730170496664195,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8005145214337622,0.9036323202372127,0.8988139362490735,0.8954781319495924,0.8947368421052632,0.9114158636026686,0.9036323202372127,0.8988139362490735,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,8,0.0,0.4516308376575241,0.09772103473727127,0.772078533738918,0.5730170496664195,NaN,0.0,0.005,1,svae,breast-cancer-wisconsin,0.8005145214337622,0.9036323202372127,0.8988139362490735,0.8954781319495924,0.8947368421052632,0.9114158636026686,0.9036323202372127,0.8988139362490735,0.8947368421052632
