hidden,latent,layers,nonlinearity,layertype,β,aucpxv,aucpz,ar,i,model,dataset
32,8,3,relu,Dense,1.0,0.03896103900000003,0.23376623379999995,0.05,2,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.2207792208,0.2857142857,0.01,2,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.45454545449999995,1.0,0.005,2,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.987012987,0.8961038961000001,0.05,2,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.6233766234,0.7402597403,0.01,2,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.987012987,0.961038961,0.005,2,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.6233766234,0.0649350649,0.05,3,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.6103896104000001,0.45454545449999995,0.01,3,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.8961038961000001,0.8831168831,0.005,3,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.5064935065,0.0,0.05,3,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.8181818182,0.20779220779999996,0.01,3,svae,blood-transfusion
32,8,3,relu,Dense,0.1,1.0,0.8571428570999999,0.005,3,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.18181818179999998,0.012987013000000047,0.05,3,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.6233766234,0.5714285714,0.01,3,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9220779221,0.5584415584,0.005,3,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.6103896104000001,0.20779220779999996,0.05,3,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.5324675325,0.4415584416,0.01,3,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.5454545455,0.987012987,0.005,3,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.6883116883,0.8441558442,0.05,4,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.6493506494,0.7792207792,0.01,4,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.6363636364,0.45454545449999995,0.005,4,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.23376623379999995,0.961038961,0.05,4,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.7922077921999999,0.7532467532,0.01,4,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.5454545455,0.4025974026,0.005,4,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9090909091,0.4415584416,0.05,4,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9090909091,0.8571428570999999,0.01,4,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9350649351,0.4935064935,0.005,4,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.36363636359999996,0.5974025974,0.05,4,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.8181818182,0.8571428570999999,0.01,4,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.6103896104000001,0.8571428570999999,0.005,4,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.7272727272999999,0.07792207790000005,0.05,5,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.05194805189999996,0.1558441558,0.01,5,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.987012987,0.3116883117,0.005,5,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.7922077921999999,0.0,0.05,5,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.41558441560000003,0.9740259739999999,0.01,5,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.987012987,0.2467532468,0.005,5,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.18181818179999998,0.8701298701,0.05,5,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9740259739999999,0.7792207792,0.01,5,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.7662337662,0.2207792208,0.005,5,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.6363636364,0.8441558442,0.05,5,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.5844155844000001,0.5714285714,0.01,5,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.961038961,0.23376623379999995,0.005,5,svae,blood-transfusion
