hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,Column1,mean auc,std auc,mean knnauc,std auc2
32,8,3,relu,Dense,32,16,0.1,1,0.28,0.89193518,0.235883049,0.365145265,0.717731298,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.0625,0.40837573,0.209558582,0.25669834,0.661437724,1,0.068965517,0.01,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,1,0,0.679762578,0.229748066,0.271132363,0.561051441,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0,0.760128133,0.246873964,0.312497644,0.667467496,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.05,0.755794234,0.197890763,0.236950284,0.663651781,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.15,0.825466365,0.208741725,0.212127095,0.628273978,0.666666667,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0,0.803278689,0.213435895,0.256626615,0.645374034,0,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.114285714,0.923591483,0.254078645,0.322429934,0.667938572,0.75,0.103448276,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.355555556,0.887695497,0.278811488,0.331877831,0.67816092,1,0.103448276,0.01,1,svae,cardiotocography,Better,0.861013755,0.045044315,0.658832674,0.042401964
32,8,3,relu,Dense,32,16,0.1,2,0.212765957,0.885622762,0.217845172,0.29512885,0.697239495,1,0.137931034,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.32,0.884209535,0.235883049,0.365145265,0.717731298,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.19047619,0.823440739,0.209558582,0.25669834,0.661437724,1,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0,0.793291879,0.229748066,0.271132363,0.561051441,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.380952381,0.897870737,0.246873964,0.312497644,0.667467496,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.133333333,0.810533258,0.197890763,0.236950284,0.663651781,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.208333333,0.892029395,0.208741725,0.212127095,0.628273978,0.666666667,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.2,0.815526663,0.213435895,0.256626615,0.645374034,0,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.058823529,0.919917091,0.254078645,0.322429934,0.667938572,0.75,0.103448276,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.347826087,0.909836066,0.278811488,0.331877831,0.67816092,1,0.103448276,0.01,1,svae,cardiotocography,Better,0.86687394,0.045890174,0.658832674,0.042401964
32,8,3,relu,Dense,32,16,0.1,3,0.333333333,0.895515357,0.217845172,0.29512885,0.697239495,1,0.137931034,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.388888889,0.900226116,0.235883049,0.365145265,0.717731298,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
